"cat_id","categoria","subcat_id_1","subcategoria_1","subcat_id_2","subcategoria_2","subcat_id_3","subcategoria_3","subcat_id_4","subcategoria_4","subcat_id_5","subcategoria_5","subcat_id_6","subcategoria_6"
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM62402","Tirones","MLM179795","Coples para Remolques",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM62402","Tirones","MLM433204","Módulos de Iluminación",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM62402","Tirones","MLM187632","Tirones",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM62402","Tirones","MLM179798","Tirones Completos",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM62402","Tirones","MLM179797","Otros",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM187303","Tirones de Tela",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM92147","Tuercas de Seguridad",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM92472","Otros",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM437685","Bases para Sillas de Bebé",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM45923","Bastones de Volantes",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM437681","Bolsas de Basura",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM430949","Caloventores",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM429390","Cámaras Vehiculares",NA,NA,NA,NA,NA,NA
